md,inc,azi,north,east,tvd
0,0.0,0.0,0.0,0.0,0.0
131,0.25,235.13,-0.1634,-0.2345,130.9996
169,0.33,248.72,-0.2505,-0.4045,168.9991
199,0.29,260.43,-0.2945,-0.5598,198.9987
225,0.3,275.73,-0.2986,-0.6924,224.9983
257,0.3,291.75,-0.2592,-0.8536,256.9979
288,0.7,198.21,-0.409,-0.9882,287.997
320,1.18,157.93,-0.9001,-0.9255,319.9929
355,1.19,160.49,-1.5766,-0.6687,354.9854
383,1.01,155.37,-2.075,-0.4687,382.9803
415,0.94,143.14,-2.5414,-0.1937,414.9757
446,1.44,142.69,-3.0547,0.1949,445.9689
477,1.65,146.15,-3.7351,0.6796,476.9576
509,1.68,143.6,-4.4953,1.2146,508.9441
545,1.5,143.84,-5.3005,1.8058,544.9302
567,0.9,145.32,-5.675,2.074,566.9253
603,0.38,185.3,-6.0264,2.2238,602.9231
639,0.58,205.47,-6.3098,2.1344,638.9218
670,0.64,171.6,-6.6227,2.0923,669.9202
699,1.1,159.98,-7.0445,2.2112,698.9168
731,0.59,170.34,-7.4955,2.344,730.9132
762,0.4,297.34,-7.6032,2.2747,761.9126
796,1.16,326.7,-7.261,1.9803,795.9093
824,2.37,330.15,-6.5219,1.5365,823.8955
854,1.64,339.76,-5.5812,1.0793,853.877
888,0.84,355.4,-4.8762,0.891,887.8689
919,1.04,340.21,-4.385,0.7775,918.8647
948,1.3,336.1,-3.8366,0.5551,947.8587
985,0.97,329.95,-3.1818,0.2282,984.8514
1017,1.1,335.09,-2.6688,-0.0368,1016.8462
1046,0.6,322.02,-2.2966,-0.2475,1045.8429
1077,0.9,309.17,-2.0149,-0.5361,1076.8402
1113,0.77,308.0,-1.6874,-0.9459,1112.8364
1141,0.51,312.48,-1.4874,-1.1861,1140.8346
1172,0.53,317.65,-1.2883,-1.3844,1171.8334
1206,0.4,320.9,-1.0799,-1.5652,1205.8322
1236,0.66,322.45,-0.8617,-1.7366,1235.8309
1265,0.0,46.89,-0.7293,-1.8384,1264.8303
1294,0.2,11.8,-0.6797,-1.828,1293.8302
1326,0.1,319.06,-0.604,-1.8349,1325.8301
1361,0.11,172.87,-0.6142,-1.8507,1360.8301
1397,0.3,163.1,-0.7387,-1.819,1396.8298
1430,0.3,174.9,-0.9074,-1.7862,1429.8294
1457,0.31,166.2,-1.0487,-1.7625,1456.829
1493,0.43,148.9,-1.259,-1.6695,1492.8283
1523,0.5,173.1,-1.4853,-1.5957,1522.8273
1533,0.37,163.66,-1.5596,-1.5813,1532.827
1629,0.41,158.54,-2.1767,-1.3685,1628.8248
1723,0.49,177.05,-2.8912,-1.2247,1722.8219
1822,1.5,222.36,-4.2714,-2.076,1821.8068
1913,2.91,217.25,-6.9904,-4.2768,1912.7372
2007,3.7,222.31,-11.1327,-7.7628,2006.5803
2105,5.29,219.99,-16.9327,-12.795,2104.2759
2199,5.42,227.47,-23.2537,-18.8513,2197.8667
2295,6.0,225.16,-29.8564,-25.7502,2293.3901
2391,6.26,233.38,-36.5166,-33.5089,2388.843
2485,7.01,243.4,-42.1422,-42.7515,2482.2159
2577,7.55,251.76,-46.5478,-53.512,2573.4765
2670,8.89,254.49,-50.3819,-66.2396,2665.5193
2769,10.04,260.22,-53.8935,-82.1158,2763.1721
2858,9.94,258.42,-56.7533,-97.2861,2850.8229
2954,9.91,259.3,-59.9503,-113.5203,2945.3863
3048,10.0,257.61,-63.2033,-129.4398,3037.9712
3144,9.8,260.08,-66.3992,-145.6288,3132.5421
3238,9.79,258.11,-69.4239,-161.3294,3225.1721
3332,9.22,257.87,-72.6529,-176.5123,3317.8812
3428,10.38,258.85,-75.9415,-192.5172,3412.4788
3516,10.76,256.54,-79.3867,-208.2844,3498.9858
3614,10.55,258.08,-83.3691,-225.9593,3595.2962
3711,10.22,256.35,-87.234,-243.0102,3690.7074
3802,9.88,258.67,-90.673,-258.5103,3780.3113
3892,9.62,256.57,-93.9365,-273.3956,3869.0115
3995,9.11,258.5,-97.5611,-289.7571,3970.6387
4084,9.75,256.57,-100.7161,-303.9915,4058.4357
4179,10.21,260.14,-104.0263,-320.1112,4151.9989
4274,9.91,260.35,-106.8384,-336.4657,4245.5382
4365,9.5,260.2,-109.4293,-351.5856,4335.2357
4465,9.35,260.63,-112.1565,-367.7325,4433.8857
4556,9.47,258.65,-114.8333,-382.3658,4523.6614
4650,8.93,263.46,-117.1861,-397.1961,4616.4533
4743,9.41,260.74,-119.2317,-411.8709,4708.2649
4839,9.43,258.91,-122.0072,-427.3342,4802.9706
4934,8.51,255.05,-125.3177,-441.763,4896.8086
5027,6.91,248.3,-129.1617,-453.6103,4988.9667
5120,4.94,242.53,-133.0777,-462.3619,5081.4662
5215,2.31,246.84,-135.718,-467.7523,5176.2679
5310,1.37,206.18,-137.4902,-470.0137,5271.2216
5408,1.51,181.34,-139.8325,-470.5608,5369.1915
5499,1.03,198.76,-141.8056,-470.8519,5460.1692
5588,1.65,198.79,-143.7761,-471.5219,5549.1445
5682,0.57,132.47,-145.3731,-471.6129,5643.1281
5781,1.25,127.73,-146.3664,-470.3956,5742.1151
5871,1.03,96.07,-147.0527,-468.8148,5832.0981
5972,0.97,67.84,-146.8262,-467.1203,5933.0833
6061,1.15,68.02,-146.2078,-465.5944,6022.068
6159,0.95,39.5,-145.2128,-464.1657,6120.0522
6249,0.59,19.73,-144.2009,-463.5347,6210.0441
6346,0.57,64.56,-143.5235,-462.9304,6307.0396
6439,0.94,51.9,-142.8541,-461.9124,6400.0314
6537,0.93,63.88,-142.008,-460.5657,6498.0184
6630,0.82,76.06,-141.5154,-459.2421,6591.0077
