,md,inc,azi,x,y,z,is_inflection,ti,total_ti
0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
1,131.0,0.25,235.13,-0.1634,-0.2345,130.9996,True,6.733306143758e-07,0.0
2,169.0,0.33,248.72,-0.2505,-0.4045,168.9991,True,5.240101068615388e-07,0.00014511197107585594
3,199.0,0.29,260.43,-0.2945,-0.5598,198.9987,True,0.0,0.0001990196966808421
4,225.0,0.3,275.73,-0.2986,-0.6924,224.9983,False,0.0,0.0001990196966808421
5,257.0,0.3,291.75,-0.2592,-0.8536,256.9979,True,0.0,0.0002619277195670206
6,288.0,0.7,198.21,-0.409,-0.9882,287.997,False,0.0,0.0002619277195670206
7,320.0,1.18,157.93,-0.9001,-0.9255,319.9929,True,8.434037362059499e-06,0.002701475925694112
8,355.0,1.19,160.49,-1.5766,-0.6687,354.9854,True,5.490861663126623e-07,0.003273115298365017
9,383.0,1.01,155.37,-2.075,-0.4687,382.9803,False,0.0,0.003273115298365017
10,415.0,0.94,143.14,-2.5414,-0.1937,414.9757,True,5.980864734578262e-07,0.004095757892394045
11,446.0,1.44,142.69,-3.0547,0.1949,445.9689,True,3.676872516233942e-06,0.005992292521401231
12,477.0,1.65,146.15,-3.7351,0.6796,476.9576,True,1.3496697461867768e-06,0.007085137718957107
13,509.0,1.68,143.6,-4.4953,1.2146,508.9441,True,0.0,0.00762824522564874
14,545.0,1.5,143.84,-5.3005,1.8058,544.9302,False,0.0,0.00762824522564874
15,567.0,0.9,145.32,-5.675,2.074,566.9253,False,0.0,0.00762824522564874
16,603.0,0.38,185.3,-6.0264,2.2238,602.9231,True,4.812210662175076e-06,0.011806256539281064
17,639.0,0.58,205.47,-6.3098,2.1344,638.9218,True,2.0410517740376832e-06,0.01385626849746824
18,670.0,0.64,171.6,-6.6227,2.0923,669.9202,False,0.0,0.01385626849746824
19,699.0,1.1,159.98,-7.0445,2.2112,698.9168,True,3.0535157715672057e-06,0.017240385677639056
20,731.0,0.59,170.34,-7.4955,2.344,730.9132,False,0.0,0.017240385677639056
21,762.0,0.4,297.34,-7.6032,2.2747,761.9126,True,1.0821122571558206e-05,0.026785053668662136
22,796.0,1.16,326.7,-7.261,1.9803,795.9093,False,0.0,0.026785053668662136
23,824.0,2.37,330.15,-6.5219,1.5365,823.8955,True,1.8739244840082492e-05,0.043929922689655176
24,854.0,1.64,339.76,-5.5812,1.0793,853.877,False,0.0,0.043929922689655176
25,888.0,0.84,355.4,-4.8762,0.891,887.8689,True,7.894773417893575e-06,0.054250210635126785
26,919.0,1.04,340.21,-4.385,0.7775,918.8647,False,0.0,0.054250210635126785
27,948.0,1.3,336.1,-3.8366,0.5551,947.8587,True,0.0,0.05800694843210334
28,985.0,0.97,329.95,-3.1818,0.2282,984.8514,True,1.6508660307668066e-06,0.06208480143860349
29,1017.0,1.1,335.09,-2.6688,-0.0368,1016.8462,True,0.0,0.06425993873536763
30,1046.0,0.6,322.02,-2.2966,-0.2475,1045.8429,True,5.0308227383943915e-06,0.0713374060669319
31,1077.0,0.9,309.17,-2.0149,-0.5361,1076.8402,True,2.470279705013567e-06,0.07618565281541602
32,1113.0,0.77,308.0,-1.6874,-0.9459,1112.8364,True,0.0,0.07892889099224726
33,1141.0,0.51,312.48,-1.4874,-1.1861,1140.8346,True,1.9775058659465827e-06,0.08320159658161078
34,1172.0,0.53,317.65,-1.2883,-1.3844,1171.8334,True,0.0,0.08557267125196669
35,1206.0,0.4,320.9,-1.0799,-1.5652,1205.8322,True,2.3699738209703725e-06,0.09101506737268591
